2022年度  京都女子大学授業科目開講一覧表
月
4795: [後期] 応用プログラミングⅡ、道越 秀吾 S110・
4817: [前期] 演習Ⅰ、江口 聡 Y303
4818: [前期] 演習Ⅰ、掛谷 純子 Y301
4819: [前期] 演習Ⅰ、奥井 亜紗子 S209
4820: [前期] 演習Ⅰ、正木 大貴 E104-2
4821: [前期] 演習Ⅰ、坂爪 聡子 F111
4822: [前期] 演習Ⅰ、澤 敬子 Y304
4823: [前期] 演習Ⅰ、中田　兼介 S309・
4824: [前期] 演習Ⅰ、諏訪 亜紀 Y102
4825: [前期] 演習Ⅰ、亘 明志 S208
4827: [前期] 演習Ⅰ、森久 聡 S213・
4828: [前期] 演習Ⅰ、野口　　実 F109・
4829: [前期] 演習Ⅰ、濱崎 由紀子 S212・
4830: [前期] 演習Ⅰ、松本 充豊 F113
4831: [前期] 演習Ⅰ、林 忠行 研究室・
4834: [前期] 演習Ⅰ、鳥谷　一生 Y302・
4836: [前期] 演習Ⅰ、宮下 健輔 S207・
4837: [前期] 演習Ⅰ、中山 貴夫 Y305・
4838: [前期] 演習Ⅰ、道越 秀吾 Y204・
4839: [前期] 演習Ⅰ、水野　義之 Y203・
5064: [前期] 演習Ⅰ、 ティム カワニシ ヤング C505
5065: [前期] 演習Ⅰ、城戸 英樹 F112
5066: [前期] 演習Ⅰ、佐藤 若菜 F110
5067: [前期] 演習Ⅰ、江 向華 S306
4840: [後期] 演習Ⅱ、掛谷 純子 E104-2
4841: [後期] 演習Ⅱ、奥井 亜紗子 S203
4842: [後期] 演習Ⅱ、正木 大貴 F207
4843: [後期] 演習Ⅱ、坂爪 聡子 Y103
4844: [後期] 演習Ⅱ、澤 敬子 E104-1・
4845: [後期] 演習Ⅱ、霜田 求 S310・
4847: [後期] 演習Ⅱ、中田　兼介 S309・
4848: [後期] 演習Ⅱ、諏訪 亜紀 Y301・
4849: [後期] 演習Ⅱ、藤井 隆道 Y207・
4850: [後期] 演習Ⅱ、濱崎 由紀子 S209・
4851: [後期] 演習Ⅱ、亘 明志 S212・
4853: [後期] 演習Ⅱ、野口　　実 J224・
4854: [後期] 演習Ⅱ、江口 聡 C507・
4855: [後期] 演習Ⅱ、戸田 真紀子 F307・
4856: [後期] 演習Ⅱ、松田 哲 Y308・
4857: [後期] 演習Ⅱ、城戸 英樹 F113・
4858: [後期] 演習Ⅱ、ティム カワニシ ヤング S109
4860: [後期] 演習Ⅱ、松本 充豊 Y303
4861: [後期] 演習Ⅱ、水野　義之 S313・
4862: [後期] 演習Ⅱ、宮下 健輔 S207
4863: [後期] 演習Ⅱ、中山 貴夫 S208・
4864: [後期] 演習Ⅱ、丸野 由希 F111
5068: [後期] 演習Ⅱ、佐藤 若菜 S213
5069: [後期] 演習Ⅱ、江 向華 F305
5070: [後期] 演習Ⅱ、嘉本 伊都子 Y204
１
回
生
２
回
生
３
回
生
4920: [前期] 国際関係史、松田 哲 E001
4870: [前期] 専門中国語Ⅱ、王 大川 J121
4892: [前期] 労働の社会学、村上 文司 C301
4897: [前期] ジェンダーと法、澤 敬子 E001・
4890: [前期] 精神医学概論、濱崎 由紀子 E103
4908: [前期] マーケティング論、加賀美　太記 ★
4885: [前期] 多様性の生物学、中田　兼介 ★
4881: [後期] 専門英語Ⅳ、松田 哲 F305
4923: [後期] 多文化社会論、佐藤 若菜 E103・
4888: [後期] エネルギーと環境、諏訪 亜紀 ★
4938: [後期] サービス経営特論、江 向華 ★
5297: [後期] 自然地理学概論、神松　幸弘 ★
火
４
回
生
2167: 現社・法学4 [後期] 教職実践演習(中・高)、森 ・山本・
椋本・村井 C202
2138: 文音家現法3（旧カリ５回生以上） [後期] 教育社会学、
森　繁男 E101・
5025: [前期] 演習Ⅴ、中道 仁美 S213
5009: [前期] 演習Ⅴ、正木 大貴 Y207 
5018: [前期] 演習Ⅴ、松田 哲 S306・ 
5057: [前期] 演習Ⅴ、森久 聡 S212 
5085: [前期] 演習Ⅴ、林 忠行 S313
5005: [前期] 演習Ⅴ、江口 聡 S209 
5024: [前期] 演習Ⅴ、藤井 隆道 S208・
5033: [後期] 演習Ⅵ、奥井 亜紗子 Y102
5042: [後期] 演習Ⅵ、松田 哲 S209・ 
5051: [後期] 演習Ⅵ、森久 聡 E104-1・
5030: [後期] 演習Ⅵ、江口 聡 S209 
5048: [後期] 演習Ⅵ、藤井 隆道 S208・
１講時 （8:50 ～ 10:20）
２講時 （10:35 ～ 12:05）
３講時 （13:00 ～ 14:30）
４講時 （14:45 ～ 16:15）
５講時 （16:30 ～ 18:00）
６講時 （18:10 ～ 19:40）
７講時 （オンデマンド）
1438: [前期] ドイツ語ⅠA2、リュウシュ マルクス C411・
1440: [前期] ドイツ語ⅠA2、Ｂ．Ｌ-寺本 C204・
1514: [前期] フランス語ⅠA2、C.モレル C212
1516: [前期] フランス語ⅠA2、藤井　フランソワーズ S309
1618: [前期] 中国語ⅠA2、王 宜瑗 C312
1620: [前期] 中国語ⅠA2、方 紅 C203・
1622: [前期] 中国語ⅠA2、彭 奕漫 E001・
1624: [前期] 中国語ⅠA2、趙 妮娜 Y202・
1726: [前期] コリア語ⅠA2、呉 永三 Y201
1728: [前期] コリア語ⅠA2、徐 民靜 C503
1730: [前期] コリア語ⅠA2、呉 珉庚 C403
1732: [前期] コリア語ⅠA2、金 情浩 C307
1439: [後期] ドイツ語ⅠB2、リュウシュ マルクス C411・ 
1441: [後期] ドイツ語ⅠB2、Ｂ．Ｌ-寺本 C204 
1515: [後期] フランス語ⅠB2、C.モレル C203・ 
1517: [後期] フランス語ⅠB2、藤井　フランソワーズ S306 
1619: [後期] 中国語ⅠB2、王 宜瑗 Y202・ 
1621: [後期] 中国語ⅠB2、方 紅 C211・ 
1623: [後期] 中国語ⅠB2、彭 奕漫 E001・ 
1625: [後期] 中国語ⅠB2、趙 妮娜 C304・ 
1727: [後期] コリア語ⅠB2、呉 永三 C202 
1729: [後期] コリア語ⅠB2、徐 民靜 C303 
